Prevalencia,Precipitacion_S1,Temperatura_M1,total.evaporation_S1,Punto.rocio_M1,Humedad.relativa_M1,DirViento_M1,Viento_M1,Precipitacion_S2,Temperatura_M2,total.evaporation_S2,Punto.rocio_M2,Humedad.relativa_M2,DirViento_M2,Viento_M2,Precipitacion_S3,Temperatura_M3,total.evaporation_S3,Punto.rocio_M3,Humedad.relativa_M3,DirViento_M3,Viento_M3,Precipitacion_S4,Temperatura_M4,total.evaporation_S4,Punto.rocio_M4,Humedad.relativa_M4,DirViento_M4,Viento_M4,Precipitacion_S5,Temperatura_M5,total.evaporation_S5,Punto.rocio_M5,Humedad.relativa_M5,DirViento_M5,Viento_M5,Precipitacion_S6,Temperatura_M6,total.evaporation_S6,Punto.rocio_M6,Humedad.relativa_M6,DirViento_M6,Viento_M6,Precipitacion_S7,Temperatura_M7,total.evaporation_S7,Punto.rocio_M7,Humedad.relativa_M7,DirViento_M7,Viento_M7,Precipitacion_S8,Temperatura_M8,total.evaporation_S8,Punto.rocio_M8,Humedad.relativa_M8,DirViento_M8,Viento_M8,Precipitacion_S9,Temperatura_M9,total.evaporation_S9,Punto.rocio_M9,Humedad.relativa_M9,DirViento_M9,Viento_M9
0,84.4785359,22.8837296,-35.6544862,17.6901136,73.4759836,124.0200368,7.0683848,33.9284148,23.3096524,-47.5413883,17.7741604,71.3756424,134.3758917,8.0921647,24.0760376,22.943994,-46.9886968,16.7768695,68.371269,110.0215272,5.856378,112.1190742,23.5332508,-36.9769223,20.3933321,82.6227443,184.8013405,5.1211403,3.8615599,23.2182147,-42.2738157,17.0905433,68.6618953,197.140672,6.4711884,14.5013068,21.1009221,-29.2614093,15.7497201,71.7701776,142.5897377,4.7699196,26.4674883,23.3163563,-23.3524675,17.7122433,71.454974,88.4109122,7.7335319,25.2358666,20.2170572,-25.7164976,15.4109258,74.2749786,175.207998,6.3167527,0.271082,17.029371,-16.7915234,8.5376291,57.7576703,161.9616245,8.1763078
0,20.393112,23.4651993,-42.3806105,16.9434421,67.1988684,90.757584,9.933321,23.1288281,23.851612,-41.0679113,18.0597724,70.8588632,152.6891787,8.7158158,19.9195226,23.2182941,-34.7724538,16.033624,64.6114193,115.986489,8.5937205,34.1621742,25.5695952,-25.0910092,19.5754122,69.8813254,108.0547607,7.0137445,7.4533954,22.5282489,-25.1887534,16.8306475,70.5164145,191.5194413,12.6224826,2.5483403,22.3640487,-16.3600044,14.3781381,60.9239135,90.7999493,9.3407987,20.1488447,24.6638336,-16.4951533,17.0104041,63.0340137,88.8145006,10.3748589,13.5390809,20.7738118,-21.0883832,13.9010381,65.0366854,159.2757954,8.5459695,1.0225029,17.5108,-8.8655073,8.1263824,54.6215235,246.8362899,8.9067711
1,27.030484,23.3759904,-41.8796996,16.7750257,66.9741364,86.8280895,9.8252219,25.283983,23.7739021,-42.205167,18.192829,71.7504335,149.9715703,8.668826,18.9635535,23.0062824,-34.3726268,15.9971494,65.2283406,113.0812542,8.4559927,49.0948663,24.9425688,-29.3776039,19.8024385,73.4115673,108.5304283,7.3302699,16.3883701,22.1831806,-30.4104183,16.9519284,72.5156776,190.2622433,12.7459755,0.7148866,22.0278833,-18.3445131,14.4016733,62.2119172,83.4316817,8.913693,24.6576082,24.244636,-14.7679271,16.8595903,63.9852621,87.0883954,10.2877594,11.2268081,20.6281331,-22.4661371,13.9682988,65.8762744,167.1166774,8.2724045,0.8827449,17.2418547,-9.0602404,7.7019765,54.0009637,240.8861687,8.9670141
1,34.0207678,23.2605607,-34.6978735,15.3980889,62.2916978,69.355353,11.7551272,25.6721732,23.6087816,-41.1641849,17.9469875,71.5729599,140.356602,9.366285,31.1493953,22.1433511,-43.3022622,15.7895078,67.7595917,91.8107557,9.5494793,59.3993918,23.8898833,-34.4342198,19.6561902,77.4902633,73.6229694,6.1171938,26.9052371,21.019289,-33.0335079,17.00839,78.1399797,182.3569675,13.9278285,0.3412846,21.0018498,-28.9763659,14.2604379,65.5188957,94.6535444,8.7686745,56.1974507,21.5616119,-25.859274,16.0782996,71.4604569,80.877425,10.1230841,10.9008601,19.1642008,-26.0914378,13.7833786,71.2162086,177.5093118,8.349341,1.5506149,15.3706308,-18.711308,7.6223541,60.4828987,270.8622113,9.1688663
0,27.0252835,23.4563045,-44.1162633,17.0932793,67.8668495,93.9924282,9.8544427,24.0999069,23.7291348,-44.0209061,18.0143052,71.1271675,119.3518135,8.7098192,17.0683791,23.1945393,-36.9319646,16.0342588,64.6769434,117.8078952,8.5685611,30.8447585,25.5687082,-27.0004701,19.5898816,69.9628756,111.6324214,6.7352416,5.1096216,22.6317564,-23.6772196,16.7240394,69.5962987,190.8320232,12.2609023,3.8813684,22.3841008,-16.3128087,14.3648324,60.7972553,95.6082959,9.4858184,20.0081032,24.7542958,-16.9210136,17.0110389,62.7177269,91.4878498,10.1783804,18.9403644,20.6307861,-22.5829734,13.9290003,65.6894275,164.2769976,8.4251653,0.9897799,17.3977955,-10.2798808,8.5114898,56.4783347,213.6710777,8.5361581
0,27.2256669,23.3010878,-40.5129567,18.1226847,73.4955282,154.3079525,8.6569565,50.9810139,22.1699367,-41.4759265,15.3753013,65.9697312,108.8059062,11.1829797,82.4083149,23.8202019,-36.0511318,19.4483013,77.0588674,61.6074579,7.6980959,13.3975447,21.9514632,-36.2508316,17.6050867,76.6588406,175.049867,12.5276001,5.0014409,20.9817768,-27.2679254,13.9920869,64.6887241,65.9892964,9.7602431,36.7236031,22.5664209,-23.2611001,15.9507624,66.6499686,58.6116822,10.0536349,54.2149088,19.1739597,-25.3598923,14.877467,76.4088597,127.417277,9.650236,4.8609109,16.0309564,-19.9848237,9.2006242,64.2525317,219.4004025,8.3638035,0.0085177,19.4751541,-16.6915525,11.6990651,60.8464394,223.450797,9.838074
0,23.456299,22.5930068,-45.7080994,17.8959351,75.0660128,177.7958826,7.2669025,34.4100435,22.0224106,-45.1720869,15.8453941,68.2165255,96.9994614,6.822201,93.5107976,23.7857456,-34.3287885,20.3721539,81.4636419,159.230475,3.3020152,17.6945925,22.8782047,-44.0298179,17.1669275,70.5590863,206.3436993,7.6506391,17.4901339,20.5967589,-29.5125032,15.6282441,73.4713636,116.1882222,4.6676739,13.8758761,22.9969791,-23.2483754,16.9361628,68.9283703,139.2816275,5.9257084,43.3137259,19.6860039,-24.0576565,15.8255383,78.8255398,155.5197162,6.8909983,0.5901039,17.5707025,-20.4213336,10.1349992,62.0540833,184.0904555,7.1066659,0.4518421,19.9197586,-13.6135891,12.3895192,62.0168737,248.7976582,6.2982306
1,35.6314864,20.934706,-41.7219764,16.6553182,76.8812424,137.2203205,5.2604261,49.3514378,20.4270656,-43.30457,14.8665855,70.6993797,82.124158,6.1093375,120.3049779,21.9733351,-33.4380828,18.9220399,83.0229915,120.80011,2.3132419,11.0756905,21.0253808,-39.4134931,15.3825118,70.4171074,204.3988724,4.5683222,45.9074082,19.026837,-31.6749876,14.6937227,76.3657616,83.8073108,4.6041648,57.070632,20.6670638,-28.6154756,16.3686172,76.6008567,138.9741739,5.8231902,54.2852125,18.041139,-23.0076741,14.6304862,81.1283049,183.2306309,4.7867758,7.4086369,15.2724522,-27.5040679,9.3498511,67.9128616,212.2066813,4.417281,0.9876432,17.3693273,-24.1152002,11.5087901,68.5885183,237.436006,5.900476
1,35.6314864,20.934706,-41.7219764,16.6553182,76.8812424,137.2203205,5.2604261,49.3514378,20.4270656,-43.30457,14.8665855,70.6993797,82.124158,6.1093375,120.3049779,21.9733351,-33.4380828,18.9220399,83.0229915,120.80011,2.3132419,11.0756905,21.0253808,-39.4134931,15.3825118,70.4171074,204.3988724,4.5683222,45.9074082,19.026837,-31.6749876,14.6937227,76.3657616,83.8073108,4.6041648,57.070632,20.6670638,-28.6154756,16.3686172,76.6008567,138.9741739,5.8231902,54.2852125,18.041139,-23.0076741,14.6304862,81.1283049,183.2306309,4.7867758,7.4086369,15.2724522,-27.5040679,9.3498511,67.9128616,212.2066813,4.417281,0.9876432,17.3693273,-24.1152002,11.5087901,68.5885183,237.436006,5.900476
1,33.252218,21.4116591,-42.3130384,17.1946493,77.2176999,139.6149386,6.1857232,47.4711497,20.8992254,-44.0831035,15.4368003,71.2628513,88.0057896,6.8589768,110.7639879,22.4035109,-33.6569529,19.5532004,84.091695,126.4772572,2.5085641,12.5341416,21.7582096,-39.9654442,16.2258549,71.0687707,207.9283371,5.869865,39.4940379,19.3556212,-30.6629417,15.2935762,77.723508,81.5381024,4.7872085,37.2632486,21.3758773,-28.1350296,16.9530655,76.0998252,148.7788758,6.3248069,59.6413305,18.6693373,-22.8395481,15.2758638,81.2460161,184.9500649,5.5150542,4.7319711,16.0680902,-25.9629833,9.9634172,67.2908389,216.4156391,5.2653475,1.2245418,18.6342524,-22.8482196,12.3357432,66.9426611,202.5021381,7.0562521
