Prevalencia	Humedad.relativa__mean	Temperatura__mean	Viento__mean	Humedad.relativa__mean.1	Temperatura__mean.1	Viento__mean.1	Humedad.relativa__mean.2	Temperatura__mean.2	Viento__mean.2	Humedad.relativa__mean.3	Temperatura__mean.3	Viento__mean.3	Humedad.relativa__mean.4	Temperatura__mean.4	Viento__mean.4	Humedad.relativa__mean.5	Temperatura__mean.5	Viento__mean.5	Humedad.relativa__mean.6	Temperatura__mean.6	Viento__mean.6	Precipitacion__sum	Precipitacion__sum.1	Precipitacion__sum.2	Precipitacion__sum.3	Precipitacion__sum.4	Precipitacion__sum.5	Precipitacion__sum.6
1	66.7539246	23.063456	11.9157295	63.7560258	22.7563276	8.6874884	76.0146865	24.1739007	5.6553234	83.7506836	22.3594396	11.5060078	73.4400472	20.7338948	11.6609719	65.0099277	20.096669	10.1422408	67.0648366	22.2000167	8.7058387	39.6925943	0.1418653	37.4545425	44.3964437	4.7068879	0.014511	19.3952591
0	66.7554152	23.5557249	9.2702233	59.4900328	23.6617754	7.7408551	68.809402	25.8555181	6.2551671	74.9829783	23.7470651	12.1221908	64.9041016	22.6538515	9.842746	61.9690958	21.318372	10.2066314	58.0586282	25.0429529	9.2501541	16.9284926	0.1882377	16.3248151	17.3594788	2.8489962	3.09172	9.674427
0	63.5234361	23.9085662	11.0537099	81.7362609	23.0234829	6.5663559	80.6323335	22.348689	12.6947799	69.7923475	21.1071021	9.5899433	59.8941161	21.1715099	10.2952493	67.1629142	22.006788	10.1876188	78.3532256	20.9981725	11.1217381	29.38633	53.0652463	13.3937881	4.9978569	0.3240081	17.8747863	71.9508362
0	70.2387694	23.5767907	4.3667029	83.8011155	23.0221227	3.6359975	71.9598781	23.0511165	9.792111	73.1816923	21.9780912	3.9916981	70.4302092	20.0889206	4.3178224	68.5099498	22.7544279	6.1087357	82.2955424	21.252939	7.4600412	27.5364104	66.0860449	16.6488574	13.2336989	5.3206655	7.979253	48.5051107
1	72.687824	22.0061992	5.7255457	84.5742957	21.2669957	1.6263036	72.5786054	21.0598242	5.893415	74.6447238	20.2135357	3.0347826	73.005152	18.6997139	4.9744959	76.0896698	20.4338713	5.6135486	87.4650388	19.1584915	5.445568	40.5299249	81.7119837	7.5701908	43.70258	7.2601559	43.094644	65.4440951
1	72.687824	22.0061992	5.7255457	84.5742957	21.2669957	1.6263036	72.5786054	21.0598242	5.893415	74.6447238	20.2135357	3.0347826	73.005152	18.6997139	4.9744959	76.0896698	20.4338713	5.6135486	87.4650388	19.1584915	5.445568	40.5299249	81.7119837	7.5701908	43.70258	7.2601559	43.094644	65.4440951
1	73.9812353	22.3055156	5.9861219	85.3750477	21.7829463	2.0319881	72.0490593	21.9255584	7.6063467	76.4964792	20.6697532	3.3483541	74.5254346	18.9935313	5.1719413	75.8285219	21.0504194	5.9547977	87.0983637	19.8063709	6.2541511	40.5301037	71.7342406	9.3112872	33.561416	10.4340437	23.755619	70.5801081
1	58.7866145	25.4148325	7.3202552	72.7108444	25.335948	5.3011476	73.6758387	23.750591	10.9630397	65.1477231	23.3460343	8.3224171	58.2583014	22.2500883	9.2623653	57.5510198	25.4504961	7.825903	67.3111768	24.2511138	10.0057381	1.3255957	29.5390844	13.824834	7.7898279	1.524848	19.5870192	31.9157523
0	58.337705	25.6437434	7.7783614	72.2484061	25.5263312	5.4511829	73.0534716	24.0365843	11.0304085	63.1917528	23.8637869	8.4225453	56.6669476	22.6120558	9.7133637	56.459867	25.7803301	8.0283857	67.2579462	24.4752116	10.2278967	1.309562	22.3547578	13.6102573	5.1384196	1.6158196	16.1238701	29.193474
1	73.6933312	24.0897393	6.1264302	84.6274576	21.3917748	14.7336163	71.1820494	20.0747426	10.3227599	63.8711601	21.3228146	9.2276096	67.943212	21.5784314	9.8559759	75.9897067	20.2613124	10.6620555	65.8456664	18.5097873	7.4847757	33.7200869	43.4131827	7.4902907	0.0804607	28.4390282	42.3550099	0.2791575
0	72.15351	24.2318524	6.6379676	85.0972534	21.3886824	14.2524522	71.6581648	20.0174742	10.4740628	64.6456947	21.162356	9.0503826	67.9112462	21.5167917	9.6754628	75.6033071	20.2525233	10.5350553	65.2889595	18.5184252	7.63287	25.2774913	46.0024681	8.8230953	0.1975391	34.4395023	38.9939189	0.1585028
0	55.3961112	25.5110509	9.6235772	67.1763883	24.1231433	11.2107825	72.6614747	20.5646991	8.7967311	70.9104057	21.3705857	6.7968762	55.3558601	15.5463865	10.4533649	63.5248973	22.6299258	5.9336669	71.0505073	16.0677012	9.1890507	0.0722143	33.0456835	38.1741574	2.0305067	0.0237317	1.4215501	24.4712449
0	66.962406	23.7258994	9.5106661	49.682819	23.9663972	8.1587673	60.9939636	24.6541407	7.9621406	54.7527159	26.1212361	7.0489856	57.4719322	25.0676849	5.8571572	63.0363289	21.6396792	7.881279	52.9321335	24.9284558	5.3571047	42.9019753	1.4202535	11.6049361	47.4311117	3.3476529	33.8267406	1.8493384
0	49.7398708	25.0269634	8.0936033	49.737137	26.5991405	6.878639	57.7168561	26.1062682	5.9812248	51.7941237	25.8576704	6.4213985	57.7388163	22.4653314	7.7983529	49.2022327	25.2520834	5.5739959	45.2478965	25.0397774	6.3166137	5.8447063	0.9512913	35.0002799	6.8720427	14.1680201	11.5478605	10.0520531
1	49.163109	25.3999637	9.2563883	47.5551681	27.3281444	7.1305716	55.8073831	26.8691495	6.6971817	48.9995358	27.008712	6.3729289	52.5549061	23.6304053	8.8025898	49.716858	25.4055781	5.8139157	48.5381741	25.1200764	6.8502151	4.0576547	0.6052267	17.1495233	9.0324429	11.5043034	19.2849159	16.2789057
0	41.345374	27.348857	11.1362227	43.3546446	29.0977803	9.6237465	49.4277196	30.2607743	9.1867205	38.628417	29.5043872	9.5049922	39.4118573	26.9379644	11.9129777	66.4134204	25.8346726	7.7480184	55.3735827	25.2172676	8.6256312	9.4811857	0.0858467	29.8056457	1.7344204	5.0215979	75.8242577	3.9082299
1	47.423263	30.8505134	8.9783312	38.2360184	29.5605396	10.1922615	42.3972578	26.5564075	11.8774392	65.1527637	26.0660714	7.1488186	55.4171273	25.4283795	9.4035441	57.1973187	28.7125126	7.5003145	56.6079742	28.359502	8.7689495	21.7434172	1.6113666	5.1913669	46.6211557	2.7517209	19.7179288	7.2657107
